FLIGHT NUMBER,DESTINATION,DEPARTURE TIME,GATE NUMBER
MI073,Yaphank,23:41,T9
MG471,Yanush,23:41,J6
KE173,Yantis,23:41,S9
VO774,Yankton,23:40,A0
PT527,Yankeetown,23:40,R9
BY761,Yankee Lake,23:40,A6
AT413,Yancopin,23:40,F9
NF540,Yancey,23:40,E6
UR993,Yampai,23:40,L7
AJ813,Yampa,23:40,U0
EH594,Yamhill,23:39,M2
HW680,Yale,23:39,M3
QK711,Yalaha,23:39,B8
GB018,Yakutat,23:39,N8
NL102,Yakima,23:39,B3
TB869,Yadkinville,23:39,V0
XL871,Yadkin Valley,23:38,U4
IP607,Yacolt,23:38,A9
UF966,Yachats,23:38,F7
JH966,Yabucoa,23:38,H5
KS860,Y City,23:38,N1
OR801,Xenia,23:38,I3
PT871,Wytopitlock,23:38,I0
UV122,Wytheville,23:37,P7
RG134,Wyomissing Hills,23:37,S7
AL840,Wyomissing,23:37,Y1
PT987,Wyoming,23:37,X6
TI368,Wyodak,23:37,A0
GD346,Wyocena,23:37,P9
LU354,Wynot,23:37,K4
UN387,Wynona,23:36,U2
UX402,Wynnewood,23:36,D6
IE653,Wynnedale,23:36,D7
XR763,Wynne,23:36,D4
GP062,Wynnburg,23:36,W7
AY508,Wyndmoor,23:36,W3
MX935,Wyndmere,23:36,R2
XX500,Wyncote,23:35,G3
AG776,Wymore,23:35,R3
HJ554,Wymer,23:35,Z1
XT383,Wyman,23:35,E6
SG567,Wylliesburg,23:35,O3
RS540,Wylie,23:35,V8
RC859,Wyldwood,23:35,U1
QP363,Wylandville,23:34,D3
GA237,Wye Mills,23:34,T4
GG602,Wyckoff,23:34,O7
YR594,Wyattville,23:34,H8
OZ339,Wyatte,23:34,L2
IX236,Wyatt,23:34,A2
FF277,Wyarno,23:34,H0
FH059,Wyano,23:33,B0
EE957,Wyanet,23:33,U0
RH954,Wyandotte,23:33,Y7
GM689,Wyandanch,23:33,U1
YY451,Wyalusing,23:33,K9
SW972,Wyaconda,23:33,G6
UJ703,Wurtsboro,23:33,X1
QL733,Wurtland,23:32,I4
DM865,Wrigley,23:32,Q0
VM079,Wrightwood,23:32,K1
CS022,Wrightsville Beach,23:32,A8
JT133,Wrightsville,23:32,Y7
HT248,Wrightstown,23:32,K0
VP119,Wrightsboro,23:32,Z3
GQ401,Wrights Corners,23:31,U7
LD910,Wright City,23:31,N4
OQ415,Wright,23:31,Z1
XC024,Wrenshall,23:31,D1
PF849,Wrens,23:31,N4
NM496,Wren,23:31,N1
TS888,Wray,23:31,Z6
WA816,Wrangell,23:30,H3
AC241,Wounded Knee,23:30,Z2
PO450,Worton,23:30,U7
NQ638,Worthville,23:30,K0
VU080,Worthington Springs,23:30,F7
KL999,Worthington Hills,23:30,K4
YZ632,Worthington,23:30,W5
UT384,Worthing,23:29,O8
VO100,Wortham,23:29,K8
DD474,Worth,23:29,T7
OA622,Wormleysburg,23:29,F2
GL611,Worley,23:29,M5
GZ927,Worland,23:29,G1
JM990,Worden,23:29,J1
IC670,Worcester,23:28,I2
QZ984,Woosung,23:28,Q7
QN979,Wooster,23:28,T2
WW365,Woonsocket,23:28,Z5
ZB107,Woolwine,23:28,L2
NF924,Woolstock,23:28,S8
LM065,Woolsey,23:28,W8
HO336,Wooldridge,23:27,S8
WT505,Wool Market,23:27,R2
IU615,Woody Creek,23:27,I6
XY842,Woodworth,23:27,J8
HQ008,Woodway,23:27,U3
XA697,Woodward,23:27,W9
JY017,Woodville,23:27,E4
TE172,Woodsville,23:26,V3
MY332,Woodstown,23:26,T1
WB379,Woodston,23:26,A7
RY065,Woodstock,23:26,N3
HT344,Woodson Terrace,23:26,J4
KS215,Woodson,23:26,D9
IY064,Woodside,23:26,U7
NN621,Woodsfield,23:25,V4
NH621,Woodsdale,23:25,T6
RM161,Woodsburgh,23:25,Q7
ZZ910,Woodsboro,23:25,S2
CE771,Woods Tavern,23:25,G2
DA113,Woods Landing,23:25,H8
RP704,Woods Hole,23:25,N3
NT923,Woods Heights,23:24,U1
TE994,Woods Cross,23:24,M0
OM278,Woodruff,23:24,Y3
FF020,Woodrow,23:24,P7
HC690,Woodridge,23:24,P5
VD000,Woodport,23:24,X1
HK246,Woodmore,23:24,E7
LQ718,Woodmoor,23:23,V1
PI078,Woodmont Beach,23:23,G1
JS918,Woodmont,23:23,E9
ZH572,Woodmere,23:23,R7
SE494,Woodman,23:23,W4
EU106,Woodlyn,23:23,E8
LP616,Woodloch,23:23,C6
WL187,Woodleaf,23:22,Z7
WU809,Woodlawn Park,23:22,D9
BT516,Woodlawn Heights,23:22,I3
ZY331,Woodlawn,23:22,T0
XU704,Woodland Park,23:22,L9
ZJ252,Woodland Mills,23:22,Q0
ZS528,Woodland Hills,23:22,T4
XH422,Woodland Heights,23:21,Q7
TG114,Woodland Beach,23:21,J6
VA021,Woodland,23:21,S2
EU515,Woodlake,23:21,L2
UB883,Woodinville,23:21,V5
TX794,Woodhull,23:21,B9
KE630,Woodhaven,23:21,E4
ZN264,Woodfords,23:20,S1
DO805,Woodford,23:20,D5
VO389,Woodfin,23:20,S0
TP717,Woodfield,23:20,Z4
DX981,Woodcrest,23:20,K1
CI776,Woodcreek,23:20,I6
ZA169,Woodcock,23:20,M3
TG582,Woodcliff Lake,23:19,M4
QH533,Woodchopper,23:19,W3
MT754,Woodbury Heights,23:19,I2
XS216,Woodbury,23:19,R5
VE183,Woodburn,23:19,C9
VJ905,Woodbridge,23:19,G8
JO799,Woodbranch,23:18,X0
JB332,Woodbourne,23:18,O4
NH432,Woodboro,23:18,I4
SD550,Woodbine,23:18,N7
QC003,Woodberry,23:18,C4
VZ949,Woodardville,23:18,O8
PP458,Woodacre,23:18,M6
RW720,Wood-Ridge,23:17,V5
TI927,Wood River,23:17,C4
IF913,Wood Lake,23:17,D9
QR892,Wood Dale,23:17,K7
ED622,Wood,23:17,X4
KC763,Wonnie,23:17,E3
CJ036,Wonewoc,23:17,M3
TB613,Wondervu,23:16,Y8
DC596,Wonder Lake,23:16,P3
TV455,Womelsdorf,23:16,H9
VU084,Wolverton,23:16,X9
ZO704,Wolverine Lake,23:16,S3
QH958,Wolverine,23:16,C5
YX966,Wolsey,23:16,L3
EX975,Wollochet,23:15,V1
BV303,Wolford,23:15,Z0
IK642,Wolflake,23:15,X3
SB469,Wolfforth,23:15,J0
AR630,Wolfeboro,23:15,B5
KM496,Wolfe City,23:15,B2
ZP769,Wolfdale,23:15,A7
KH712,Wolf Trap,23:14,J5
XQ436,Wolf Point,23:14,R2
LF268,Wolf Lake,23:14,B5
IE112,Wolf Creek,23:14,E1
MT861,Wolf Bayou,23:14,W0
TY038,Wolf,23:14,S7
WC126,Wolcottville,23:14,L5
SK658,Wolcott,23:13,O9
JJ470,Wofford Heights,23:13,M9
HP924,Woden,23:13,E8
ET743,Woburn,23:13,M8
PE999,Wixon Valley,23:13,T1
IJ905,Wixom,23:13,G9
IW494,Witts Springs,23:13,N8
BV035,Wittmann,23:12,I2
PK791,Wittman,23:12,D6
QQ178,Witter,23:12,E0
CP402,Wittenberg,23:12,T6
PY870,Witt,23:12,X4
QN616,Witoka,23:12,B5
ZG406,Withrow,23:12,D3
AZ851,Withers,23:11,P4
EZ084,Witherbee,23:11,G6
MS180,Withamsville,23:11,D8
ML895,Wister,23:11,J3
UN708,Wisner,23:11,R4
DM511,Wishram,23:11,Q7
FV204,Wishek,23:11,A0
EB271,Wiseman,23:10,R8
WJ560,Wise,23:10,I2
ED853,Wisdom,23:10,B8
YH516,Wisconsin Rapids,23:10,G7
QD115,Wisconsin Dells,23:10,M6
DB161,Wiscasset,23:10,B9
PI261,Wisacky,23:10,T9
LN646,Wirt,23:09,C0
FJ591,Wiota,23:09,U8
NU380,Winton,23:09,Y4
WV686,Winthrop Harbor,23:09,Y1
RR752,Winthrop,23:09,Y3
OB357,Winterville,23:09,B4
SU344,Wintersville,23:09,S3
TF470,Winterstown,23:08,J8
JA972,Winterset,23:08,G3
BV258,Wintersburg,23:08,G3
WT164,Winters,23:08,R7
LY998,Winterport,23:08,Z3
GP127,Winterpock,23:08,D6
HP292,Winterboro,23:08,H3
RP542,Winter Springs,23:07,U4
TQ154,Winter Park,23:07,R2
PD749,Winter Haven,23:07,C9
WO274,Winter Harbor,23:07,S7
BR840,Winter Gardens,23:07,R4
JB261,Winter Garden,23:07,K6
GD317,Winter Beach,23:07,H7
LD519,Winter,23:06,A7
OL356,Winstonville,23:06,E4
XC298,Winston-Salem,23:06,E4
XR534,Winston,23:06,R0
CV963,Winsted,23:06,R3
AC931,Winslow,23:06,O2
JK269,Winside,23:06,K3
KJ381,Winooski,23:05,O8
QZ003,Winona Lake,23:05,V8
NQ533,Winona,23:05,C6
IY046,Winokur,23:05,E9
AV068,Winnsboro Mills,23:05,X2
EM977,Winnsboro,23:05,K9
XD718,Winnie,23:05,Z1
YX897,Winnfield,23:04,O6
FM298,Winnett,23:04,Z1
XB398,Winnetoon,23:04,O3
YD718,Winnetka,23:04,P0
WS371,Winner,23:04,D6
ZT965,Winneconne,23:04,Q6
FQ919,Winnebago,23:04,B0
FR673,Winnabow,23:03,X0
AZ222,Winn,23:03,I6
HX983,Winlock,23:03,V7
WX422,Winkelman,23:03,T3
SW816,Wink,23:03,Q6
YA755,Winigan,23:03,Q3
JE803,Winifred,23:03,N5
RT481,Winger,23:02,Y2
CL309,Wingate,23:02,W7
FR528,Wing,23:02,R1
UH724,Winfred,23:02,J3
OO393,Winfield,23:02,J9
IQ717,Winfall,23:02,Y4
VI604,Windy Hills,23:02,P8
MW327,Windthorst,23:01,K1
XF400,Windsor Locks,23:01,R6
GM762,Windsor Hills,23:01,G4
ZF577,Windsor Heights,23:01,O9
QS530,Windsor,23:01,W6
AJ907,Window Rock,23:01,I4
PP559,Windom,23:01,F1
US553,Winding Falls,23:00,C8
XH702,Windhorst,23:00,U6
NA616,Windham,23:00,H4
YL569,Windfall City,23:00,H0
TK809,Windermere,23:00,G1
CL213,Winder,23:00,Z9
PY052,Windemere,23:00,S1
TA992,Windcrest,22:59,X5
KI244,Windber,22:59,X8
SH065,Wind Ridge,22:59,V2
DU065,Wind Point,22:59,U6
FM506,Wind Lake,22:59,W2
SP023,Wind Gap,22:59,K3
YG986,Winchester,22:58,S1
BO160,Winchendon,22:58,W5
CB487,Winchell,22:58,A8
NE486,Winborn,22:58,S4
TV022,Wimbledon,22:58,Z2
YD214,Wimberley,22:58,H5
ZN760,Wimauma,22:58,P7
GQ821,Wilton Manors,22:57,O5
NO364,Wilton Center,22:57,M3
KF234,Wilton,22:57,V5
KC558,Wilsonville,22:57,Z3
BA576,Wilsons Mills,22:57,E5
ZH716,Wilsonia,22:57,T7
IZ324,Wilson Creek,22:57,X4
AR752,Wilson City,22:56,I3
XZ771,Wilson,22:56,W6
VN510,Wilseyville,22:56,L1
RT547,Wilsey,22:56,E1
ML474,Wilsall,22:56,Z2
LV497,Wilno,22:56,R9
WX502,Wilna,22:56,O7
GM428,Wilmot,22:55,Y8
AY612,Wilmore,22:55,D1
DJ491,Wilmont,22:55,I4
VS985,Wilmington Manor,22:55,J7
AE803,Wilmington Island,22:55,U3
RV880,Wilmington,22:55,F0
TE396,Wilmette,22:55,T0
EL063,Wilmer,22:54,E1
HE967,Wilmar,22:54,H2
CS039,Wilma,22:54,Z5
TC240,Willshire,22:54,U3
CQ197,Willsboro Point,22:54,S5
ZF640,Wills Point,22:54,Z2
WC686,Willowville,22:54,B2
VB414,Willows,22:53,N9
VL514,Willowick,22:53,G7
GQ234,Willowdale,22:53,D3
XT336,Willowbrook,22:53,S1
DD999,Willow Valley,22:53,H4
NU518,Willow Street,22:53,F4
EX413,Willow Springs,22:53,X6
BV388,Willow Run,22:52,H8
MJ673,Willow River,22:52,K6
VI277,Willow Ranch,22:52,X4
KB046,Willow Park,22:52,R8
SJ410,Willow Oak,22:52,F3
TJ626,Willow Lake,22:52,C8
QH253,Willow Island,22:52,H8
UP696,Willow Grove,22:51,C6
ZO097,Willow Glen,22:51,H1
NC099,Willow Creek,22:51,Q1
PQ406,Willow City,22:51,D5
TT362,Willow Brook,22:51,N1
BW763,Willow,22:51,R4
KP906,Willoughby Hills,22:51,E7
JV000,Willoughby,22:50,E9
RK106,Willmar,22:50,R0
KP663,Willits,22:50,M5
XZ146,Willisville,22:50,C0
FT721,Williston Park,22:50,J7
FB314,Williston,22:50,J1
RN532,Willisburg,22:50,A7
GV028,Willis,22:49,N9
BD366,Willingboro,22:49,C4
RW673,Willimantic,22:49,E2
EK718,Williford,22:49,R8
WW846,Williamsville,22:49,Y1
PA359,Williamstown,22:49,A9
QN718,Williamston,22:49,M4
FU583,Williamsport,22:48,L4
WN239,Williamson,22:48,F5
KF891,Williamsfield,22:48,U5
WQ740,Williamsdale,22:48,M1
PF899,Williamsburg,22:48,O7
PJ714,Williams Park,22:48,O4
WZ213,Williams Creek,22:48,N2
HY353,Williams Bay,22:47,A0
NR768,Williams,22:47,P2
QO747,Willhoit,22:47,I9
BP065,Willey,22:47,A8
AR230,Willette,22:47,N6
IO669,Willernie,22:47,X9
FB657,Willcox,22:47,Q8
LP518,Willards,22:46,D6
EB822,Willard,22:46,C8
GD830,Willamina,22:46,D3
MQ493,Willaha,22:46,T8
FY123,Willacoochee,22:46,U8
QH130,Wilkinson Heights,22:46,T6
MF342,Wilkinson,22:46,K9
NH610,Wilkinsburg,22:45,H9
YT949,Wilkeson,22:45,B1
XZ073,Wilkesboro,22:45,F5
GO463,Wilkes-Barre,22:45,H6
AV718,Wiley Ford,22:45,J6
KN127,Wiley,22:45,A8
XZ963,Wildwood Lake,22:45,P4
YL600,Wildwood Crest,22:44,U2
XY126,Wildwood,22:44,M8
BL880,Wildrose,22:44,D0
PN393,Wildorado,22:44,N3
JG250,Wildomar,22:44,H0
MG040,Wilderville,22:44,M0
QE815,Wilders,22:44,W0
RX528,Wilderness,22:43,F0
HT371,Wilder,22:43,I5
CS476,Wildell,22:43,L9
TY075,Wild Rose,22:43,P8
EY972,Wild Peach Village,22:43,F7
JM699,Wild Horse,22:43,U8
YD969,Wild Cherry,22:43,L1
XP193,Wilcox,22:42,W4
QM693,Wilburton,22:42,A2
OA826,Wilbur Park,22:42,I8
GW730,Wilbur,22:42,H2
XS828,Wilbraham,22:42,Z9
TI469,Wilberforce,22:42,U5
ZU574,Wilber,22:42,B2
BL698,Wigwam,22:41,H1
JQ920,Wiggins,22:41,H8
TY821,Wiederkehr Village,22:41,E3
QG523,Wicomico Church,22:41,G4
IO050,Wicksville,22:41,B5
HD563,Wickliffe,22:41,X9
JP632,Wickett,22:41,D5
KV801,Wickersham,22:40,V1
WC315,Wickenburg,22:40,J5
VK902,Wickatunk,22:40,E2
JA083,Wick,22:40,M3
DM391,Wichita Falls,22:40,N3
FZ720,Wichita,22:40,Q4
NR905,Wibaux,22:39,V4
AN327,Whyte,22:39,W4
IW546,Whittlesey,22:39,F3
ML029,Whittington,22:39,O7
PD767,Whittier,22:39,S1
WO038,Whitten,22:39,W1
JA980,Whittemore,22:39,I1
DF489,Whittaker,22:38,B9
CX346,Whitsett,22:38,M3
UY987,Whitney Point,22:38,N8
FU024,Whitney,22:38,P6
ZT634,Whitmore Village,22:38,G5
SE233,Whitmore Lake,22:38,X5
XD202,Whitmire,22:38,R3
VZ209,Whitman Square,22:37,M8
EO864,Whitman,22:37,L2
IT597,Whitley City,22:37,G2
AM813,Whitlash,22:37,H6
RO839,Whitinsville,22:37,Y2
QS465,Whiting,22:37,M2
AD290,Whitfield,22:37,B0
LM279,Whitewright,22:36,C7
PD335,Whitewood,22:36,G8
NV335,Whitewater,22:36,O0
ER686,Whiteville,22:36,O1
YB829,Whitetop,22:36,R0
UP289,Whitethorn,22:36,M5
XD304,Whitetail,22:36,N8
DY150,Whitesville,22:35,A5
IT307,Whitestown,22:35,B2
BY119,Whiteson,22:35,Q7
JQ420,Whiteside,22:35,I4
DI425,Whitesburg,22:35,G2
LQ072,Whitesboro,22:35,S2
VH792,Whites City,22:35,M9
FH424,Whiterocks,22:34,M9
AL586,Whiteriver,22:34,C4
WZ215,Whitemarsh Island,22:34,C8
GP491,Whitelaw,22:34,M3
GV639,Whiteland,22:34,D9
HF456,Whitehouse,22:34,D6
MB373,Whitehorse,22:34,P1
QI713,Whitehall,22:33,O0
NW388,Whiteflat,22:33,U0
UE197,Whitefish Bay,22:33,N6
PH572,Whitefish,22:33,J1
OP226,Whitefield,22:33,Q0
YG369,Whiteface,22:33,Z4
QD531,Whiteclay,22:33,C9
QA066,White Tower,22:32,V2
TG752,White Swan,22:32,Z0
JZ140,White Sulphur Springs,22:32,B4
ES649,White Stone,22:32,L1
AW174,White Springs,22:32,M9
SJ438,White Signal,22:32,L7
YG443,White Shield,22:32,B7
PM180,White Settlement,22:31,L8
KF239,White Salmon,22:31,Q7
RG246,White Rock,22:31,D7
RU816,White River Junction,22:31,O2
PT063,White River,22:31,Q1
FH212,White Plains,22:31,Y3
WG770,White Pine,22:31,W9
EW204,White Pigeon,22:30,E3
HH358,White Owl,22:30,V9
AC704,White Oak,22:30,G4
BO800,White Mountain,22:30,S4
QB634,White Marsh,22:30,H3
YP697,White Lake,22:30,R7
ZX822,White House Station,22:30,Y3
VZ309,White House,22:29,H3
KV315,White Horse Beach,22:29,U9
OI131,White Horse,22:29,B4
ZB736,White Heath,22:29,G4
YM573,White Haven,22:29,R5
OX953,White Hall,22:29,B6
RC076,White Earth,22:29,D3
DX175,White Deer,22:28,L5
GL767,White Crystal Beach,22:28,V2
IX132,White Creek,22:28,B3
DA891,White Cloud,22:28,F6
DZ691,White City,22:28,K1
FW818,White Church,22:28,U7
JA842,White Center,22:28,L2
GU372,White Castle,22:27,M8
IL245,White Canyon,22:27,I7
SH823,White Butte,22:27,Z9
OX278,White Bluff,22:27,N2
MB461,White Bird,22:27,A1
QP643,White Bear Beach,22:27,B4
CK181,White Bead,22:27,N8
WZ688,White Ash,22:26,P9
LS251,White Apple,22:26,O2
FK304,White,22:26,O2
CJ939,Whitakers,22:26,J3
NR174,Whitaker,22:26,Z1
XC792,Whispering Pines,22:26,P8
UK791,Whisper Walk,22:26,U6
IP604,Whiskey Creek,22:25,W7
MH220,Whipps Millgate,22:25,S0
LK421,Whipple,22:25,K4
TT901,Whippany,22:25,U5
ES058,Whipholt,22:25,O4
RW030,Whigham,22:25,F8
IL111,Whelen Springs,22:25,C3
FM580,Wheelwright,22:24,D9
VQ079,Wheelock,22:24,N5
YZ789,Wheeling,22:24,Y2
IA025,Wheeless,22:24,F4
AQ343,Wheelersburg,22:24,S5
SH645,Wheeler Springs,22:24,B3
NE972,Wheeler Ridge,22:24,K5
JZ091,Wheeler,22:23,I6
RA148,Wheaton,22:23,B7
AX367,Wheatley Heights,22:23,D7
NM496,Wheatley,22:23,U1
GI873,Wheatland,22:23,L5
BT991,Wheatfield,22:23,N2
IC072,Wheatcroft,22:23,C9
II705,Wheat Ridge,22:22,V7
FQ808,Whatley,22:22,V1
PN319,What Cheer,22:22,I0
RH567,Wharton,22:22,U2
UV255,Wharncliffe,22:22,Q3
WY420,Whaleyville,22:22,J3
PA351,Whale Pass,22:22,L8
IA037,Whalan,22:21,S2
PH370,Weymouth,22:21,Z6
BD666,Weyerhaeuser,22:21,Y7
CM449,Weyauwega,22:21,Z5
YJ978,Wexford,22:21,S1
ZM132,Wewoka,22:21,H0
DZ208,Wewela,22:21,X1
MY930,Weweantic,22:20,V0
BE492,Wewahitchka,22:20,C8
MJ998,Wever,22:20,F6
RM850,Wetumpka,22:20,J2
SZ126,Wetumka,22:20,B1
OA191,Wetonka,22:20,V8
HO444,Wetmore,22:19,Q3
CY176,Wethersfield,22:19,S8
HK941,Westwood Lake,22:19,X2
PB010,Westwood Hills,22:19,T5
JU526,Westwood,22:19,Z0
GI668,Westwego,22:19,L5
RI921,Westway,22:19,Z6
ZI078,Westwater,22:18,C4
FW760,Westville,22:18,C0
YB954,Westview,22:18,M2
XY314,Westvale,22:18,K0
JG673,Westvaco,22:18,A6
OQ388,Westtown,22:18,S8
WY934,Westside,22:18,I3
MW881,Westport,22:17,K8
BB235,Westpoint,22:17,F2
FM902,Westphalia,22:17,R7
TM152,Westover Hills,22:17,J1
GF723,Westover,22:17,B3
LP962,Weston Mills,22:17,Z1
TI779,Weston,22:17,M3
GO621,Westoak,22:16,F9
LV714,Westmorland,22:16,X5
EK297,Westmoreland City,22:16,F1
KC406,Westmoreland,22:16,O8
EG532,Westmont,22:16,H8
IB497,Westminster,22:16,U4
FR707,Westmere,22:16,B3
UX164,Westline,22:15,T4
AY887,Westley,22:15,U6
RA891,Westland,22:15,W2
UH408,Westlake Village,22:15,V9
ZX801,Westlake,22:15,L5
VK936,Westhope,22:15,R7
WC076,Westhoff,22:15,J2
XU404,Westhaven,22:14,O6
PH223,Westhampton Beach,22:14,R6
UU632,Westhampton,22:14,U1
RE552,Westgate,22:14,U6
GI366,Westford,22:14,M1
LZ078,Westfir,22:14,T2
EJ929,Westfield Center,22:14,N9
EC935,Westfield,22:13,U7
KO543,Westfall,22:13,K7
SW481,Westerville,22:13,R3
IP179,Westernport,22:13,V6
SI677,Western Hills,22:13,V8
NU266,Western,22:13,B5
LM387,Westerlo,22:13,Q3
BK700,Westend,22:12,T4
PL938,Westel,22:12,Q0
AG870,Westdale,22:12,S4
ND769,Westcreek,22:12,K9
ZN219,Westcliffe,22:12,S4
FJ542,Westchester,22:12,P5
EL552,Westby,22:12,X9
KE160,Westbury,22:11,E0
GC008,Westbrook,22:11,J4
LM183,Westborough,22:11,Q3
HT753,Westboro,22:11,Z4
DT561,Westbend,22:11,V7
RK994,Westacres,22:11,H7
UV881,West York,22:11,A7
AK843,West Yellowstone,22:10,K7
KZ768,West Yarmouth,22:10,P1
TS961,West Wyomissing,22:10,F1
ZU857,West Wyoming,22:10,Q8
MT532,West Winfield,22:10,W0
WN346,West Wildwood,22:10,S2
CN949,West Whittier,22:10,P3
IU674,West Wendover,22:09,J7
OY705,West Wenatchee,22:09,J5
MB031,West Warwick,22:09,G4
IM983,West View,22:09,H5
IM370,West Vandergrift,22:09,R1
NR803,West Valley City,22:09,S7
FE597,West Valley,22:09,D3
YY607,West Upton,22:08,F5
JC892,West University Place,22:08,X3
IF704,West Unity,22:08,R3
UG997,West Union,22:08,K5
YN814,West Topsham,22:08,R1
WQ819,West Thumb,22:08,Z0
JA168,West Terre Haute,22:08,K7
XG672,West Tawakoni,22:07,A3
RF454,West Swanzey,22:07,T1
CG517,West Sunbury,22:07,A0
GQ624,West Sullivan,22:07,X3
DC042,West Springfield,22:07,Q5
XO127,West Smithfield,22:07,Y7
VJ368,West Slope,22:07,E7
RI508,West Simsbury,22:06,V6
XR908,West Siloam Springs,22:06,A0
KX517,West Shiloh,22:06,B0
SG026,West Seneca,22:06,T3
WC368,West Selmont,22:06,K5
NZ395,West Seboeis,22:06,M8
FL670,West Sayville,22:06,G4
AC634,West Sand Lake,22:05,W5
KR811,West Samoset,22:05,Q2
FU715,West Salem,22:05,W9
KK323,West Saint Paul,22:05,U3
YV565,West Sacramento,22:05,K4
CL881,West Rutland,22:05,X2
IE572,West Riverside,22:05,Q5
BX968,West Richland,22:04,I4
DN797,West Richfield,22:04,M8
QY894,West Reading,22:04,F9
OW465,West Puente Valley,22:04,A4
UJ077,West Portsmouth,22:04,U7
GE621,West Point,22:04,Q6
SD006,West Plains,22:04,Z9
AH120,West Pittston,22:03,W7
PS212,West Pittsburg,22:03,M6
